departmentId,category,subCategory,totalSeats
ai_robotics,SC,SCPWD,0
ai_robotics,SC,SCCDP,0
ai_robotics,SC,SCCPF,0
ai_robotics,SC,SCSPT,0
ai_robotics,ST1,ST1,2
ai_robotics,ST1,ST1PWD,1
ai_robotics,ST1,ST1CDP,0
ai_robotics,ST1,ST1CPF,0
ai_robotics,ST1,ST1SPT,0
ai_robotics,ST2,ST2,2
ai_robotics,ST2,ST2PWD,0
ai_robotics,ST2,ST2CDP,1
ai_robotics,ST2,ST2CPF,0
ai_robotics,ST2,ST2SPT,0
ai_robotics,RBA,RBA,3
ai_robotics,RBA,RBAPWD,0
ai_robotics,RBA,RBACDP,0
ai_robotics,RBA,RBACPF,0
ai_robotics,RBA,RBASPT,0
ai_robotics,RLAC,RLAC,1
ai_robotics,RLAC,RLACPWD,0
ai_robotics,RLAC,RLACCDP,0
ai_robotics,RLAC,RLACCPF,0
ai_robotics,RLAC,RLACSPT,0
ai_robotics,OBC,OBC,3
ai_robotics,OBC,OBCPWD,0
ai_robotics,OBC,OBCCDP,0
ai_robotics,OBC,OBCCPF,0
ai_robotics,OBC,OBCSPT,0
